1PL	first person, plural
1PL.ADD	first person, plural, additive
1SG	first person, singular
2PL	second person, plural
2SG	second person, singular
3	third person
3PL	third person, plural
3SG	third person, singular
=ADD	additive
=CONTR	contrastive
=EMPH	emphatic
=ENCL	enclitic
=POL1	enclitic pre-imperative non-categorical marker
=PTCL	particle
ABL	ablative
ACC	accusative
ADV	adverb
AGGR	aggregative
AOR	aorist
AOR.3PL	aorist, third person, plural
AOR.3SG	aorist, third person, singular
APROX	approximative
ATT	attenuative
ATTR	attributive
ATTR.MEAS	attributive, measure
CAR	caritive
CAUS	causative
CAUS.DIST	causative, distorted form
CMPR	comparative
COLL	collective
COM	comitative
CVB	converb
CVB.LIM	converb, limitative
CVB.POST	converb, postposition
CVB.SIM	converb, simultaneous
DAT	dative
DAT.POSS.1SG	dative, possessive, first person, singular
DAT.POSS.2SG	dative, possessive, second person, singular
DEADJ	deadjectival derivation
DEB	debitive
DEB.ADD	debitive, additive
DENOM	denominal verb
DENOM1	denominal verb
DENOM2	denominal verb
DES	desiderative
DEST	destination marker
DETR1	detransitivizer
DETR2	detransitivizer
EL	elative
FULL	full form
GEN	genitive
ILL	illative
ILL2	illative
IMP	imperative
IMP.2PL	imperative, second person, plural
IN	inessive
IN2	inessive
INCH	inchoative
INDEF1	indefinite
INDEF2	indefinite
INDEF3	indefinite
INF	infinitive
ITER1	iterative
ITER2	iterative
ITER3	iterative
JUSS.PL	jussive, plural
JUSS.SG	jussive, singular
KIN	kinship-term marker
LAT	lative
LAT2	lative
MAN	manner verb
MED	mediopassive
NACT	deverbal noun
NAG	agent noun
NEG	negation
NEG.ATTR	negation, attributive
NEG.CVB	negation, converb
NEG.PRET	negation, preterite
NEG.PTCP	negation, participle
NMLZ	nominalization
NMLZ.ILL	nominalization, illative
NMLZ.IN	nominalization, inessive
NPST.1PL	non-past, first person, plural
NPST.1SG	non-past, first person, singular
NPST.2PL	non-past, second person, plural
NPST.2SG	non-past, second person, singular
NPST.3PL	non-past, third person, plural
NPST.3SG	non-past, third person, singular
OPT	optative
ORD	ordinal
PART	particle
PL	plural
POL2	pre-imperative non-categorical marker, type 2
POSS.1PL	possessive, first person, plural
POSS.1SG	possessive, first person, singular
POSS.2PL	possessive, second person, plural
POSS.2SG	possessive, second person, singular
POSS.3PL	possessive, third person, plural
POSS.3SG	possessive, third person, singular
PRET	preterite
PROP	proprietive
PTCP.ACT	participle, active
PTCP.PASS/NMLZ	participle, passive, nominalization
PUN	punctive
RAR	rare form
REFL	reflexive
RETR1	retrospective shift, type 1
RETR2	retrospective shift, type 2
SEM	semelfactive
SIM	simultaneous
SINCE	meaning ‘since then’
STEM	stem
